Datum;"Preis ⌀";"Preis Bid";"Preis Ask"
2022-08-16;259.75;260.25;260
2022-08-17;268.75;269.25;269
2022-08-18;273.75;274.25;274
2022-08-19;284.25;284.75;284.5
2022-08-22;296.75;297.25;297
2022-08-23;280.75;281.25;281
2022-08-24;285.75;286.25;286
2022-08-25;282.75;283.25;283
2022-08-26;295.75;296.25;296
2022-08-30;285;286;285.5
2022-08-31;288.75;289.25;289
2022-09-01;294.75;295.25;295
2022-09-02;300.75;301.25;301
2022-09-05;323.75;324.25;324
2022-09-06;311.75;312.25;312
2022-09-07;291.5;292;291.75
2022-09-08;280.75;281.25;281
2022-09-09;279;279.5;279.25
