Datum;"Preis ⌀";"Preis Bid";"Preis Ask"
2023-07-06;107.875;108.875;108.38
2023-07-07;109.5;110.5;110
2023-07-10;105.7;106.7;106.2
2023-07-11;100.5;101.5;101
2023-07-12;93.25;94.25;93.75
2023-07-13;91.15;92.15;91.65
2023-07-14;91.1;92.1;91.6
2023-07-17;91;101.25;96.13
2023-07-18;108.2;109.2;108.7
2023-07-19;95;112.75;103.88
2023-07-20;95;117;106
2023-07-21;98;99;98.5
2023-07-24;117;118;117.5
2023-07-25;120.5;121.5;121
2023-07-26;117.85;118.85;118.35
2023-07-27;117.4;120.9;119.15
2023-07-28;111.5;112.5;112
2023-07-31;106.2;122.25;114.23
2023-08-01;103;120;111.5
2023-08-02;110.7;111.7;111.2
2023-08-04;108;122.25;115.13
2023-08-07;112.5;128;120.25
2023-08-08;119.625;123.225;121.43
2023-08-09;123.7;124.7;124.2
2023-08-10;121.4;122.4;121.9
2023-08-11;123.075;124.075;123.58
2023-08-14;117.8;126.8;122.3
2023-08-15;123.5;124.5;124
2023-08-16;123.7;124.7;124.2
2023-08-17;115.5;116.5;116
2023-08-18;122.425;123.425;122.93
2023-08-21;120.525;121.525;121.03
2023-08-22;123.25;124.25;123.75
2023-08-23;120.5;121.5;121
2023-08-24;118.75;119.75;119.25
2023-08-25;120.175;121.175;120.68
2023-08-29;116.25;117.25;116.75
2023-08-30;122;123;122.5
2023-09-01;117.075;118.075;117.58
2023-09-04;119.8;120.8;120.3
2023-09-05;123.05;124.05;123.55
2023-09-06;119.65;120.65;120.15
2023-09-07;118.6;119.6;119.1
2023-09-08;121;122;121.5
2023-09-11;121.375;122.375;121.88
2023-09-12;122;123;122.5
2023-09-13;126.725;127.725;127.23
2023-09-14;126;127;126.5
2023-09-15;129.9;130.9;130.4
2023-09-18;126;127;126.5
2023-09-19;126.75;127.75;127.25
2023-09-20;126.5;127.5;127
2023-09-21;125;126;125.5
2023-09-22;126;127;126.5
2023-09-25;126.25;127.25;126.75
2023-09-26;126;127;126.5
2023-09-27;127.5;128.5;128
2023-09-28;130;131;130.5
2023-09-29;129.25;130.25;129.75
2023-10-03;120;121.5;120.75
2023-10-04;118.5;119.5;119
2023-10-05;118.75;119.75;119.25
2023-10-06;121.5;122.5;122
2023-10-09;123;124;123.5
2023-10-10;127.625;128.625;128.13
2023-10-11;126.5;127.5;127
2023-10-12;129.5;130.5;130
2023-10-13;137.75;138.75;138.25
2023-10-16;134.15;135.15;134.65
2023-10-17;134.75;135.75;135.25
2023-10-18;134.5;135.5;135
2023-10-20;135.4;136.4;135.9
2023-10-23;136.5;137.5;137
2023-10-24;132;133;132.5
2023-10-25;126;127;126.5
2023-10-26;130.1;131.1;130.6
2023-10-27;127;128;127.5
2023-10-30;122;123;122.5
2023-10-31;115.5;116.5;116
2023-11-01;116.5;117.5;117
