"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Italy (IT)","02.11.2017 16:00 - 02.11.2017 17:00 (CET/CEST)","369","n/e","16","12917","3576","358","n/e","n/e","670","1191","146","2501","822","n/e","n/e","10760","n/e","435","49","n/e","1416"
"Italy (IT)","02.11.2017 17:00 - 02.11.2017 18:00 (CET/CEST)","368","n/e","1","13558","3625","339","n/e","n/e","673","1727","70","3633","1316","n/e","n/e","10960","n/e","14","52","n/e","1514"
"Italy (IT)","02.11.2017 18:00 - 02.11.2017 19:00 (CET/CEST)","369","n/e","3","13742","3586","334","n/e","n/e","672","1525","","3858","1281","n/e","n/e","11436","n/e","0","51","n/e","1415"
"Italy (IT)","02.11.2017 19:00 - 02.11.2017 20:00 (CET/CEST)","370","n/e","30","13693","3618","333","n/e","n/e","672","1232","","3797","1065","n/e","n/e","11367","n/e","0","52","n/e","1500"
"Italy (IT)","02.11.2017 20:00 - 02.11.2017 21:00 (CET/CEST)","368","n/e","19","13648","3611","306","n/e","n/e","672","65","","2768","891","n/e","n/e","10810","n/e","0","51","n/e","1658"
"Italy (IT)","02.11.2017 21:00 - 02.11.2017 22:00 (CET/CEST)","368","n/e","8","13385","3612","316","n/e","n/e","672","25","1","2260","591","n/e","n/e","10596","n/e","0","49","n/e","1816"
"Italy (IT)","02.11.2017 22:00 - 02.11.2017 23:00 (CET/CEST)","369","n/e","3","12093","3586","282","n/e","n/e","672","0","1","1479","341","n/e","n/e","10471","n/e","0","50","n/e","1933"
"Italy (IT)","02.11.2017 23:00 - 03.11.2017 00:00 (CET/CEST)","365","n/e","7","10115","3492","282","n/e","n/e","673","0","1","1239","273","n/e","n/e","8935","n/e","0","50","n/e","1998"
"Italy (IT)","03.11.2017 00:00 - 03.11.2017 01:00 (CET/CEST)","366","n/e","3","8477","3394","271","n/e","n/e","670","0","3","1087","156","n/e","n/e","8213","n/e","0","51","n/e","1928"
"Italy (IT)","03.11.2017 01:00 - 03.11.2017 02:00 (CET/CEST)","367","n/e","8","7263","3082","271","n/e","n/e","667","0","668","1025","136","n/e","n/e","7885","n/e","0","49","n/e","2027"
"Italy (IT)","03.11.2017 02:00 - 03.11.2017 03:00 (CET/CEST)","368","n/e","0","6553","2999","271","n/e","n/e","667","0","1709","981","128","n/e","n/e","7317","n/e","0","50","n/e","2083"
"Italy (IT)","03.11.2017 03:00 - 03.11.2017 04:00 (CET/CEST)","368","n/e","11","6549","3027","271","n/e","n/e","667","0","1864","972","129","n/e","n/e","6890","n/e","0","48","n/e","2036"
"Italy (IT)","03.11.2017 04:00 - 03.11.2017 05:00 (CET/CEST)","366","n/e","21","6673","3059","271","n/e","n/e","666","0","1856","1001","148","n/e","n/e","6911","n/e","0","49","n/e","1974"
"Italy (IT)","03.11.2017 05:00 - 03.11.2017 06:00 (CET/CEST)","367","n/e","0","7605","3231","270","n/e","n/e","665","127","1019","933","143","n/e","n/e","7574","n/e","0","49","n/e","1912"
"Italy (IT)","03.11.2017 06:00 - 03.11.2017 07:00 (CET/CEST)","368","n/e","0","10435","3458","270","n/e","n/e","666","33","63","1156","327","n/e","n/e","9171","n/e","20","48","n/e","1832"
"Italy (IT)","03.11.2017 07:00 - 03.11.2017 08:00 (CET/CEST)","371","n/e","0","12059","3519","279","n/e","n/e","665","25","1","1848","636","n/e","n/e","9873","n/e","677","50","n/e","1396"
"Italy (IT)","03.11.2017 08:00 - 03.11.2017 09:00 (CET/CEST)","369","n/e","0","12535","3603","363","n/e","n/e","666","148","49","2474","924","n/e","n/e","9855","n/e","2437","51","n/e","1037"
"Italy (IT)","03.11.2017 09:00 - 03.11.2017 10:00 (CET/CEST)","362","n/e","0","12275","3559","328","n/e","n/e","665","125","85","2673","1048","n/e","n/e","9759","n/e","4188","49","n/e","977"
"Italy (IT)","03.11.2017 10:00 - 03.11.2017 11:00 (CET/CEST)","348","n/e","0","12236","3365","329","n/e","n/e","665","159","85","2327","1027","n/e","n/e","9687","n/e","5129","51","n/e","963"
"Italy (IT)","03.11.2017 11:00 - 03.11.2017 12:00 (CET/CEST)","365","n/e","10","12111","3330","330","n/e","n/e","663","129","85","2070","903","n/e","n/e","9725","n/e","5689","48","n/e","966"
"Italy (IT)","03.11.2017 12:00 - 03.11.2017 13:00 (CET/CEST)","370","n/e","0","11540","3355","330","n/e","n/e","664","109","85","1745","1016","n/e","n/e","9722","n/e","5809","47","n/e","950"
"Italy (IT)","03.11.2017 13:00 - 03.11.2017 14:00 (CET/CEST)","365","n/e","15","11641","3359","330","n/e","n/e","663","1","85","1557","567","n/e","n/e","9724","n/e","5557","46","n/e","929"
"Italy (IT)","03.11.2017 14:00 - 03.11.2017 15:00 (CET/CEST)","364","n/e","38","12159","3446","331","n/e","n/e","664","0","84","1574","611","n/e","n/e","9958","n/e","4046","41","n/e","913"
"Italy (IT)","03.11.2017 15:00 - 03.11.2017 16:00 (CET/CEST)","372","n/e","76","12739","3515","394","n/e","n/e","664","130","","2287","866","n/e","n/e","10211","n/e","2125","39","n/e","813"
"Italy (IT)","03.11.2017 16:00 - 03.11.2017 17:00 (CET/CEST)","374","n/e","120","13062","3506","365","n/e","n/e","664","2017","39","2900","937","n/e","n/e","10063","n/e","457","46","n/e","760"
"Italy (IT)","03.11.2017 17:00 - 03.11.2017 18:00 (CET/CEST)","376","n/e","166","13440","3411","446","n/e","n/e","663","2239","","3879","1416","n/e","n/e","10966","n/e","22","47","n/e","667"
"Italy (IT)","03.11.2017 18:00 - 03.11.2017 19:00 (CET/CEST)","373","n/e","164","13552","3320","415","n/e","n/e","662","2712","","3647","940","n/e","n/e","10820","n/e","0","43","n/e","517"
"Italy (IT)","03.11.2017 19:00 - 03.11.2017 20:00 (CET/CEST)","372","n/e","178","13580","3304","380","n/e","n/e","668","2188","","3448","849","n/e","n/e","10658","n/e","0","47","n/e","362"
"Italy (IT)","03.11.2017 20:00 - 03.11.2017 21:00 (CET/CEST)","371","n/e","189","13607","3221","360","n/e","n/e","670","584","","2924","719","n/e","n/e","10522","n/e","0","46","n/e","283"
"Italy (IT)","03.11.2017 21:00 - 03.11.2017 22:00 (CET/CEST)","373","n/e","186","12865","3066","366","n/e","n/e","670","394","","2054","453","n/e","n/e","10065","n/e","0","47","n/e","270"
"Italy (IT)","03.11.2017 22:00 - 03.11.2017 23:00 (CET/CEST)","374","n/e","181","11468","3211","360","n/e","n/e","673","88","1","1744","380","n/e","n/e","9553","n/e","0","51","n/e","267"
"Italy (IT)","03.11.2017 23:00 - 04.11.2017 00:00 (CET/CEST)","372","n/e","188","10930","3253","165","n/e","n/e","674","0","1","1449","288","n/e","n/e","8558","n/e","0","52","n/e","315"
"Italy (IT)","04.11.2017 00:00 - 04.11.2017 01:00 (CET/CEST)","371","n/e","195","8045","3425","137","n/e","n/e","674","99","1","1359","378","n/e","n/e","7025","n/e","0","52","n/e","439"
"Italy (IT)","04.11.2017 01:00 - 04.11.2017 02:00 (CET/CEST)","373","n/e","204","6531","3346","148","n/e","n/e","674","0","611","1036","114","n/e","n/e","7506","n/e","0","50","n/e","488"
"Italy (IT)","04.11.2017 02:00 - 04.11.2017 03:00 (CET/CEST)","375","n/e","207","6188","3019","136","n/e","n/e","674","0","751","961","59","n/e","n/e","7277","n/e","0","50","n/e","550"
"Italy (IT)","04.11.2017 03:00 - 04.11.2017 04:00 (CET/CEST)","373","n/e","208","5939","2915","135","n/e","n/e","674","0","749","930","38","n/e","n/e","6966","n/e","0","48","n/e","666"
"Italy (IT)","04.11.2017 04:00 - 04.11.2017 05:00 (CET/CEST)","372","n/e","208","5933","2826","136","n/e","n/e","674","0","748","931","34","n/e","n/e","6981","n/e","0","46","n/e","657"
"Italy (IT)","04.11.2017 05:00 - 04.11.2017 06:00 (CET/CEST)","374","n/e","207","6620","3035","136","n/e","n/e","673","0","1231","983","32","n/e","n/e","7271","n/e","0","49","n/e","698"
"Italy (IT)","04.11.2017 06:00 - 04.11.2017 07:00 (CET/CEST)","373","n/e","207","7158","3261","135","n/e","n/e","674","0","738","1059","38","n/e","n/e","7877","n/e","20","49","n/e","693"
"Italy (IT)","04.11.2017 07:00 - 04.11.2017 08:00 (CET/CEST)","373","n/e","207","7952","3111","135","n/e","n/e","674","0","143","1369","138","n/e","n/e","8021","n/e","876","50","n/e","673"
