"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","02.01.2017 06:00 - 02.01.2017 07:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","43","4731","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 07:00 - 02.01.2017 08:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5303","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 08:00 - 02.01.2017 09:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5464","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 09:00 - 02.01.2017 10:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5558","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 10:00 - 02.01.2017 11:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5508","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 11:00 - 02.01.2017 12:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","5455","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 12:00 - 02.01.2017 13:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","5430","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 13:00 - 02.01.2017 14:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","5419","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 14:00 - 02.01.2017 15:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","5535","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 15:00 - 02.01.2017 16:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5747","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 16:00 - 02.01.2017 17:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5813","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 17:00 - 02.01.2017 18:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","5785","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 18:00 - 02.01.2017 19:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","40","5628","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 19:00 - 02.01.2017 20:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","40","5391","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 20:00 - 02.01.2017 21:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","40","5191","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 21:00 - 02.01.2017 22:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","39","5236","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 22:00 - 02.01.2017 23:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","39","5008","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 23:00 - 03.01.2017 00:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","4845","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 00:00 - 03.01.2017 01:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","4111","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 01:00 - 03.01.2017 02:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","3929","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 02:00 - 03.01.2017 03:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","3822","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 03:00 - 03.01.2017 04:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","3731","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 04:00 - 03.01.2017 05:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","3864","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 05:00 - 03.01.2017 06:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","4061","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 06:00 - 03.01.2017 07:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","4711","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 07:00 - 03.01.2017 08:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","5402","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 08:00 - 03.01.2017 09:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","5670","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 09:00 - 03.01.2017 10:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","5224","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 10:00 - 03.01.2017 11:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","4996","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 11:00 - 03.01.2017 12:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","4876","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 12:00 - 03.01.2017 13:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","4799","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 13:00 - 03.01.2017 14:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","4858","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 14:00 - 03.01.2017 15:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","4876","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 15:00 - 03.01.2017 16:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","4847","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 16:00 - 03.01.2017 17:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","4890","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 17:00 - 03.01.2017 18:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","4890","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 18:00 - 03.01.2017 19:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","4814","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 19:00 - 03.01.2017 20:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","4515","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 20:00 - 03.01.2017 21:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","4302","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 21:00 - 03.01.2017 22:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","3779","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 22:00 - 03.01.2017 23:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","3166","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","03.01.2017 23:00 - 04.01.2017 00:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","2740","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 00:00 - 04.01.2017 01:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","2675","n/e","n/e","16","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 01:00 - 04.01.2017 02:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","2432","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 02:00 - 04.01.2017 03:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","2236","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 03:00 - 04.01.2017 04:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","2209","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 04:00 - 04.01.2017 05:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","2165","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 05:00 - 04.01.2017 06:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","2395","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 06:00 - 04.01.2017 07:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","3586","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 07:00 - 04.01.2017 08:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","4750","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 08:00 - 04.01.2017 09:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","5050","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 09:00 - 04.01.2017 10:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5112","n/e","n/e","15","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 10:00 - 04.01.2017 11:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","5059","n/e","n/e","14","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 11:00 - 04.01.2017 12:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5036","n/e","n/e","14","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 12:00 - 04.01.2017 13:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5071","n/e","n/e","14","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 13:00 - 04.01.2017 14:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5099","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 14:00 - 04.01.2017 15:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","5109","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 15:00 - 04.01.2017 16:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","5203","n/e","n/e","13","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 16:00 - 04.01.2017 17:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","5247","n/e","n/e","11","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 17:00 - 04.01.2017 18:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5305","n/e","n/e","11","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 18:00 - 04.01.2017 19:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5252","n/e","n/e","11","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 19:00 - 04.01.2017 20:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5236","n/e","n/e","11","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 20:00 - 04.01.2017 21:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","5043","n/e","n/e","11","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 21:00 - 04.01.2017 22:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","4765","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 22:00 - 04.01.2017 23:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","26","4691","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","04.01.2017 23:00 - 05.01.2017 00:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","26","4727","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 00:00 - 05.01.2017 01:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","4510","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 01:00 - 05.01.2017 02:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","4436","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 02:00 - 05.01.2017 03:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","4446","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 03:00 - 05.01.2017 04:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","4513","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 04:00 - 05.01.2017 05:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","4571","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 05:00 - 05.01.2017 06:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","4801","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 06:00 - 05.01.2017 07:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5318","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
"BZN|NO5","05.01.2017 07:00 - 05.01.2017 08:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","5745","n/e","n/e","10","n/e","n/e","n/e","n/e","0"
