"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","192","4225","55","595","7368","221","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2507"
"BZN|PL","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","191","4062","54","594","7493","220","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2451"
"BZN|PL","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","190","3971","54","594","7536","220","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2486"
"BZN|PL","02.01.2017 03:00 - 02.01.2017 04:00 (CET)","190","4007","54","594","7574","220","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2623"
"BZN|PL","02.01.2017 04:00 - 02.01.2017 05:00 (CET)","192","3963","54","594","7951","220","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2636"
"BZN|PL","02.01.2017 05:00 - 02.01.2017 06:00 (CET)","191","4098","55","594","8503","221","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2668"
"BZN|PL","02.01.2017 06:00 - 02.01.2017 07:00 (CET)","191","4734","55","617","9309","221","n/e","n/e","n/e","0","","211","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2630"
"BZN|PL","02.01.2017 07:00 - 02.01.2017 08:00 (CET)","191","5653","55","660","10239","223","n/e","n/e","n/e","0","","210","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2645"
"BZN|PL","02.01.2017 08:00 - 02.01.2017 09:00 (CET)","191","5544","54","660","10907","225","n/e","n/e","n/e","0","","231","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2556"
"BZN|PL","02.01.2017 09:00 - 02.01.2017 10:00 (CET)","192","5638","54","660","11439","225","n/e","n/e","n/e","0","","244","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2519"
"BZN|PL","02.01.2017 10:00 - 02.01.2017 11:00 (CET)","191","5628","55","660","11528","226","n/e","n/e","n/e","18","","244","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2607"
"BZN|PL","02.01.2017 11:00 - 02.01.2017 12:00 (CET)","192","5727","55","660","11698","228","n/e","n/e","n/e","21","","244","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2509"
"BZN|PL","02.01.2017 12:00 - 02.01.2017 13:00 (CET)","191","5771","55","660","11645","229","n/e","n/e","n/e","21","","237","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2541"
"BZN|PL","02.01.2017 13:00 - 02.01.2017 14:00 (CET)","192","5909","55","659","11664","229","n/e","n/e","n/e","41","","241","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2440"
"BZN|PL","02.01.2017 14:00 - 02.01.2017 15:00 (CET)","191","5944","55","659","11573","229","n/e","n/e","n/e","75","","241","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2490"
"BZN|PL","02.01.2017 15:00 - 02.01.2017 16:00 (CET)","191","5863","54","659","11307","229","n/e","n/e","n/e","43","","242","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2577"
"BZN|PL","02.01.2017 16:00 - 02.01.2017 17:00 (CET)","191","5992","55","659","11953","229","n/e","n/e","n/e","129","","266","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2462"
"BZN|PL","02.01.2017 17:00 - 02.01.2017 18:00 (CET)","192","6001","54","659","12045","228","n/e","n/e","n/e","177","","280","58","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2482"
"BZN|PL","02.01.2017 18:00 - 02.01.2017 19:00 (CET)","192","5992","55","660","11701","226","n/e","n/e","n/e","127","","286","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2542"
"BZN|PL","02.01.2017 19:00 - 02.01.2017 20:00 (CET)","192","5942","55","660","11510","226","n/e","n/e","n/e","117","","286","58","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2634"
"BZN|PL","02.01.2017 20:00 - 02.01.2017 21:00 (CET)","192","5696","55","661","11481","226","n/e","n/e","n/e","57","","282","58","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2714"
"BZN|PL","02.01.2017 21:00 - 02.01.2017 22:00 (CET)","192","5467","55","659","10919","228","n/e","n/e","n/e","42","","262","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2548"
"BZN|PL","02.01.2017 22:00 - 02.01.2017 23:00 (CET)","191","5360","55","648","10084","229","n/e","n/e","n/e","0","","230","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2518"
"BZN|PL","02.01.2017 23:00 - 03.01.2017 00:00 (CET)","191","4829","55","645","9734","232","n/e","n/e","n/e","0","","219","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2579"
"BZN|PL","03.01.2017 00:00 - 03.01.2017 01:00 (CET)","191","4809","54","644","9352","234","n/e","n/e","n/e","0","","219","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2470"
"BZN|PL","03.01.2017 01:00 - 03.01.2017 02:00 (CET)","191","4654","55","644","9160","233","n/e","n/e","n/e","0","","219","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2493"
"BZN|PL","03.01.2017 02:00 - 03.01.2017 03:00 (CET)","192","4919","55","643","8959","233","n/e","n/e","n/e","0","","219","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2359"
"BZN|PL","03.01.2017 03:00 - 03.01.2017 04:00 (CET)","190","4938","55","643","8957","231","n/e","n/e","n/e","0","","219","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2438"
"BZN|PL","03.01.2017 04:00 - 03.01.2017 05:00 (CET)","192","4853","55","643","9078","229","n/e","n/e","n/e","0","","220","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2451"
"BZN|PL","03.01.2017 05:00 - 03.01.2017 06:00 (CET)","192","5194","55","643","9286","228","n/e","n/e","n/e","0","","224","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2384"
