"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FR","30.06.2017 01:00 - 30.06.2017 02:00 (CET)","301","n/e","n/e","1454","304","270","n/e","n/e","n/e","","2212","4190","1181","n/e","37633","n/e","n/e","0","263","n/e","3526"
"BZN|FR","30.06.2017 02:00 - 30.06.2017 03:00 (CET)","300","n/e","n/e","1338","290","270","n/e","n/e","n/e","","2128","4097","1134","n/e","37378","n/e","n/e","0","264","n/e","3540"
"BZN|FR","30.06.2017 03:00 - 30.06.2017 04:00 (CET)","299","n/e","n/e","1338","339","270","n/e","n/e","n/e","","2242","3886","817","n/e","36355","n/e","n/e","0","266","n/e","3325"
"BZN|FR","30.06.2017 04:00 - 30.06.2017 05:00 (CET)","303","n/e","n/e","1555","332","270","n/e","n/e","n/e","","2353","3891","802","n/e","36156","n/e","n/e","0","262","n/e","3194"
"BZN|FR","30.06.2017 05:00 - 30.06.2017 06:00 (CET)","302","n/e","n/e","1578","334","270","n/e","n/e","n/e","","1975","4021","905","n/e","36845","n/e","n/e","47","263","n/e","3157"
"BZN|FR","30.06.2017 06:00 - 30.06.2017 07:00 (CET)","302","n/e","n/e","1783","445","271","n/e","n/e","n/e","","1502","4231","1297","n/e","37307","n/e","n/e","145","262","n/e","2993"
"BZN|FR","30.06.2017 07:00 - 30.06.2017 08:00 (CET)","302","n/e","n/e","1851","426","272","n/e","n/e","n/e","169","","4625","1438","n/e","37954","n/e","n/e","457","243","n/e","2757"
"BZN|FR","30.06.2017 08:00 - 30.06.2017 09:00 (CET)","307","n/e","n/e","1855","375","271","n/e","n/e","n/e","914","","4907","1319","n/e","38733","n/e","n/e","1018","242","n/e","2722"
"BZN|FR","30.06.2017 09:00 - 30.06.2017 10:00 (CET)","308","n/e","n/e","1632","310","272","n/e","n/e","n/e","1144","","5009","1339","n/e","38965","n/e","n/e","1724","243","n/e","2931"
"BZN|FR","30.06.2017 10:00 - 30.06.2017 11:00 (CET)","303","n/e","n/e","1747","345","272","n/e","n/e","n/e","1395","","5007","1553","n/e","38902","n/e","n/e","2313","245","n/e","2960"
"BZN|FR","30.06.2017 11:00 - 30.06.2017 12:00 (CET)","304","n/e","n/e","1810","365","272","n/e","n/e","n/e","1377","","4865","1751","n/e","38972","n/e","n/e","2755","242","n/e","3062"
"BZN|FR","30.06.2017 12:00 - 30.06.2017 13:00 (CET)","304","n/e","n/e","1979","352","272","n/e","n/e","n/e","1536","","4825","1650","n/e","38802","n/e","n/e","2984","234","n/e","3321"
"BZN|FR","30.06.2017 13:00 - 30.06.2017 14:00 (CET)","306","n/e","n/e","2090","435","272","n/e","n/e","n/e","376","","4472","1374","n/e","38660","n/e","n/e","3048","230","n/e","3559"
"BZN|FR","30.06.2017 14:00 - 30.06.2017 15:00 (CET)","298","n/e","n/e","1981","440","272","n/e","n/e","n/e","68","","4298","1168","n/e","38824","n/e","n/e","2897","229","n/e","3682"
"BZN|FR","30.06.2017 15:00 - 30.06.2017 16:00 (CET)","308","n/e","n/e","1718","330","272","n/e","n/e","n/e","","450","4322","1369","n/e","38277","n/e","n/e","2702","231","n/e","3642"
"BZN|FR","30.06.2017 16:00 - 30.06.2017 17:00 (CET)","309","n/e","n/e","1647","311","272","n/e","n/e","n/e","","433","4327","1083","n/e","37826","n/e","n/e","2351","242","n/e","3624"
"BZN|FR","30.06.2017 17:00 - 30.06.2017 18:00 (CET)","309","n/e","n/e","1723","432","272","n/e","n/e","n/e","","185","4479","1247","n/e","38012","n/e","n/e","1862","245","n/e","3305"
"BZN|FR","30.06.2017 18:00 - 30.06.2017 19:00 (CET)","308","n/e","n/e","1890","355","272","n/e","n/e","n/e","1060","","4627","1851","n/e","38022","n/e","n/e","1307","250","n/e","3064"
"BZN|FR","30.06.2017 19:00 - 30.06.2017 20:00 (CET)","309","n/e","n/e","2061","339","272","n/e","n/e","n/e","1450","","4897","2026","n/e","38095","n/e","n/e","715","256","n/e","2969"
