"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CH","22.08.2017 15:00 - 22.08.2017 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","593","","80","1014","n/e","1058","n/e","n/e","228","n/e","n/e","8"
"BZN|CH","22.08.2017 16:00 - 22.08.2017 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","735","","79","873","n/e","1455","n/e","n/e","187","n/e","n/e","7"
"BZN|CH","22.08.2017 17:00 - 22.08.2017 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1512","","77","1608","n/e","2027","n/e","n/e","132","n/e","n/e","6"
"BZN|CH","22.08.2017 18:00 - 22.08.2017 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2410","","78","1859","n/e","2026","n/e","n/e","70","n/e","n/e","6"
"BZN|CH","22.08.2017 19:00 - 22.08.2017 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2682","","79","2008","n/e","2027","n/e","n/e","19","n/e","n/e","4"
"BZN|CH","22.08.2017 20:00 - 22.08.2017 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2628","","80","1951","n/e","2034","n/e","n/e","1","n/e","n/e","2"
"BZN|CH","22.08.2017 21:00 - 22.08.2017 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2395","","82","1905","n/e","2036","n/e","n/e","0","n/e","n/e","1"
"BZN|CH","22.08.2017 22:00 - 22.08.2017 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1335","","82","1579","n/e","2044","n/e","n/e","0","n/e","n/e","2"
"BZN|CH","22.08.2017 23:00 - 23.08.2017 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","463","","82","842","n/e","2048","n/e","n/e","0","n/e","n/e","1"
"BZN|CH","23.08.2017 00:00 - 23.08.2017 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","370","","81","648","n/e","2053","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","23.08.2017 01:00 - 23.08.2017 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","343","","79","566","n/e","2056","n/e","n/e","0","n/e","n/e","4"
"BZN|CH","23.08.2017 02:00 - 23.08.2017 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","343","","79","522","n/e","2060","n/e","n/e","0","n/e","n/e","4"
"BZN|CH","23.08.2017 03:00 - 23.08.2017 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","314","","79","453","n/e","2062","n/e","n/e","0","n/e","n/e","4"
"BZN|CH","23.08.2017 04:00 - 23.08.2017 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","279","","77","392","n/e","2064","n/e","n/e","0","n/e","n/e","6"
"BZN|CH","23.08.2017 05:00 - 23.08.2017 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","316","","77","590","n/e","2065","n/e","n/e","0","n/e","n/e","4"
"BZN|CH","23.08.2017 06:00 - 23.08.2017 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","688","","77","1096","n/e","2068","n/e","n/e","1","n/e","n/e","3"
"BZN|CH","23.08.2017 07:00 - 23.08.2017 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1353","","77","1766","n/e","2069","n/e","n/e","20","n/e","n/e","5"
"BZN|CH","23.08.2017 08:00 - 23.08.2017 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1700","","77","1732","n/e","2071","n/e","n/e","73","n/e","n/e","3"
