"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CZ","06.02.2017 02:00 - 06.02.2017 03:00 (CET)","232","4214","197","255","535","5","n/e","n/e","n/e","0","1081","88","17","n/e","3007","97","282","0","16","n/e","35"
"BZN|CZ","06.02.2017 03:00 - 06.02.2017 04:00 (CET)","231","4184","195","257","588","5","n/e","n/e","n/e","0","1047","88","17","n/e","3008","97","282","0","16","n/e","36"
"BZN|CZ","06.02.2017 04:00 - 06.02.2017 05:00 (CET)","233","4184","198","347","646","5","n/e","n/e","n/e","0","997","87","24","n/e","3008","99","283","0","16","n/e","35"
"BZN|CZ","06.02.2017 05:00 - 06.02.2017 06:00 (CET)","233","4236","198","540","771","5","n/e","n/e","n/e","0","304","87","24","n/e","3007","102","283","0","16","n/e","34"
"BZN|CZ","06.02.2017 06:00 - 06.02.2017 07:00 (CET)","234","4309","210","895","803","5","n/e","n/e","n/e","0","5","84","63","n/e","3008","115","289","0","16","n/e","34"
"BZN|CZ","06.02.2017 07:00 - 06.02.2017 08:00 (CET)","236","4497","219","1018","879","5","n/e","n/e","n/e","0","0","77","387","n/e","3008","116","288","1","16","n/e","32"
"BZN|CZ","06.02.2017 08:00 - 06.02.2017 09:00 (CET)","236","4571","209","1038","881","5","n/e","n/e","n/e","252","0","76","441","n/e","3007","116","289","29","16","n/e","25"
"BZN|CZ","06.02.2017 09:00 - 06.02.2017 10:00 (CET)","235","4591","212","1037","892","5","n/e","n/e","n/e","298","0","76","444","n/e","3008","115","287","111","16","n/e","20"
"BZN|CZ","06.02.2017 10:00 - 06.02.2017 11:00 (CET)","231","4538","214","1036","887","5","n/e","n/e","n/e","312","0","77","432","n/e","3007","112","285","208","16","n/e","15"
"BZN|CZ","06.02.2017 11:00 - 06.02.2017 12:00 (CET)","230","4577","215","1032","887","5","n/e","n/e","n/e","252","0","78","319","n/e","3007","112","286","252","16","n/e","15"
"BZN|CZ","06.02.2017 12:00 - 06.02.2017 13:00 (CET)","230","4644","217","1041","895","5","n/e","n/e","n/e","503","0","79","252","n/e","3007","113","289","247","16","n/e","17"
"BZN|CZ","06.02.2017 13:00 - 06.02.2017 14:00 (CET)","230","4626","217","1041","889","5","n/e","n/e","n/e","507","0","81","120","n/e","3007","118","292","222","16","n/e","17"
"BZN|CZ","06.02.2017 14:00 - 06.02.2017 15:00 (CET)","231","4595","216","1039","888","5","n/e","n/e","n/e","25","0","82","93","n/e","3005","120","293","149","16","n/e","19"
"BZN|CZ","06.02.2017 15:00 - 06.02.2017 16:00 (CET)","231","4591","215","964","889","5","n/e","n/e","n/e","0","0","83","101","n/e","3005","119","294","76","16","n/e","23"
