"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","02.01.2017 07:00 - 02.01.2017 08:00 (CET)","291","n/e","n/e","105","321","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","80","118"
"BZN|DK2","02.01.2017 08:00 - 02.01.2017 09:00 (CET)","291","n/e","n/e","111","329","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","81","70","125"
"BZN|DK2","02.01.2017 09:00 - 02.01.2017 10:00 (CET)","294","n/e","n/e","110","369","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","80","76","107"
"BZN|DK2","02.01.2017 10:00 - 02.01.2017 11:00 (CET)","310","n/e","n/e","109","375","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","80","58","76"
"BZN|DK2","02.01.2017 11:00 - 02.01.2017 12:00 (CET)","308","n/e","n/e","107","372","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","80","45","77"
"BZN|DK2","02.01.2017 12:00 - 02.01.2017 13:00 (CET)","304","n/e","n/e","106","370","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","55","81","70","77"
"BZN|DK2","02.01.2017 13:00 - 02.01.2017 14:00 (CET)","310","n/e","n/e","107","370","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","46","79","70","85"
"BZN|DK2","02.01.2017 14:00 - 02.01.2017 15:00 (CET)","313","n/e","n/e","118","372","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","26","81","87","62"
"BZN|DK2","02.01.2017 15:00 - 02.01.2017 16:00 (CET)","311","n/e","n/e","127","367","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","81","69","56"
"BZN|DK2","02.01.2017 16:00 - 02.01.2017 17:00 (CET)","313","n/e","n/e","128","371","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","82","68"
"BZN|DK2","02.01.2017 17:00 - 02.01.2017 18:00 (CET)","312","n/e","n/e","133","381","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","79","72"
"BZN|DK2","02.01.2017 18:00 - 02.01.2017 19:00 (CET)","307","n/e","n/e","133","373","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","86","71"
"BZN|DK2","02.01.2017 19:00 - 02.01.2017 20:00 (CET)","311","n/e","n/e","132","361","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","90","76"
"BZN|DK2","02.01.2017 20:00 - 02.01.2017 21:00 (CET)","309","n/e","n/e","132","366","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","138","90"
"BZN|DK2","02.01.2017 21:00 - 02.01.2017 22:00 (CET)","312","n/e","n/e","132","371","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","163","86"
"BZN|DK2","02.01.2017 22:00 - 02.01.2017 23:00 (CET)","309","n/e","n/e","132","349","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","83","64"
"BZN|DK2","02.01.2017 23:00 - 03.01.2017 00:00 (CET)","311","n/e","n/e","130","303","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","79","65"
"BZN|DK2","03.01.2017 00:00 - 03.01.2017 01:00 (CET)","307","n/e","n/e","128","289","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","138","74"
"BZN|DK2","03.01.2017 01:00 - 03.01.2017 02:00 (CET)","296","n/e","n/e","129","285","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","275","74"
"BZN|DK2","03.01.2017 02:00 - 03.01.2017 03:00 (CET)","295","n/e","n/e","128","282","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","253","30"
"BZN|DK2","03.01.2017 03:00 - 03.01.2017 04:00 (CET)","302","n/e","n/e","126","283","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","182","17"
"BZN|DK2","03.01.2017 04:00 - 03.01.2017 05:00 (CET)","298","n/e","n/e","127","282","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","192","15"
"BZN|DK2","03.01.2017 05:00 - 03.01.2017 06:00 (CET)","294","n/e","n/e","127","280","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","211","16"
"BZN|DK2","03.01.2017 06:00 - 03.01.2017 07:00 (CET)","303","n/e","n/e","127","296","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","263","32"
"BZN|DK2","03.01.2017 07:00 - 03.01.2017 08:00 (CET)","311","n/e","n/e","127","307","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","311","37"
"BZN|DK2","03.01.2017 08:00 - 03.01.2017 09:00 (CET)","308","n/e","n/e","129","331","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","348","133"
"BZN|DK2","03.01.2017 09:00 - 03.01.2017 10:00 (CET)","305","n/e","n/e","128","353","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","79","346","266"
"BZN|DK2","03.01.2017 10:00 - 03.01.2017 11:00 (CET)","306","n/e","n/e","141","353","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","79","363","288"
"BZN|DK2","03.01.2017 11:00 - 03.01.2017 12:00 (CET)","306","n/e","n/e","130","338","12","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","81","369","327"
"BZN|DK2","03.01.2017 12:00 - 03.01.2017 13:00 (CET)","312","n/e","n/e","128","340","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","81","368","371"
"BZN|DK2","03.01.2017 13:00 - 03.01.2017 14:00 (CET)","316","n/e","n/e","128","341","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","81","369","449"
"BZN|DK2","03.01.2017 14:00 - 03.01.2017 15:00 (CET)","312","n/e","n/e","127","345","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","80","370","489"
