Technology;Country/area;Indicator;2016;2017;2018
;Norway;Electricity capacity (MW);77;77;77
;Poland;Electricity capacity (MW);749;738;778
;Portugal;Electricity capacity (MW);519;512;577
;Slovakia;Electricity capacity (MW);160;155;154
;Spain;Electricity capacity (MW);794;798;797
;Sweden;Electricity capacity (MW);4333;4273;4484
;Switzerland;Electricity capacity (MW);212;212;212
;UK;Electricity capacity (MW);3483;3683;5152
Bagasse;Europe;Electricity capacity (MW);2;2;2
;Austria;Electricity capacity (MW);;;
;Belgium;Electricity capacity (MW);;;
;Czechia;Electricity capacity (MW);;;
;Denmark;Electricity capacity (MW);;;
;Finland;Electricity capacity (MW);;;
;France;Electricity capacity (MW);;;
;Germany;Electricity capacity (MW);;;
;Hungary;Electricity capacity (MW);;;
;Italy;Electricity capacity (MW);;;
;Luxembourg;Electricity capacity (MW);;;
;Netherlands;Electricity capacity (MW);;;
;Norway;Electricity capacity (MW);;;
;Poland;Electricity capacity (MW);;;
;Portugal;Electricity capacity (MW);2;2;2
;Slovakia;Electricity capacity (MW);;;
;Spain;Electricity capacity (MW);;;
;Sweden;Electricity capacity (MW);;;
;Switzerland;Electricity capacity (MW);;;
;UK;Electricity capacity (MW);;;
Renewable municipal waste;Europe;Electricity capacity (MW);4568;4701;4860
;Austria;Electricity capacity (MW);271;271;270
;Belgium;Electricity capacity (MW);125;125;125
;Czechia;Electricity capacity (MW);28;28;28
;Denmark;Electricity capacity (MW);166;182;181
;Finland;Electricity capacity (MW);148;148;148
;France;Electricity capacity (MW);424;429;441
;Germany;Electricity capacity (MW);979;1004;1059
;Hungary;Electricity capacity (MW);29;23;23
;Italy;Electricity capacity (MW);409;408.148;411.798
;Luxembourg;Electricity capacity (MW);9;9;9
;Netherlands;Electricity capacity (MW);325;325;400
;Norway;Electricity capacity (MW);50;50;50
;Poland;Electricity capacity (MW);22;30;43
;Portugal;Electricity capacity (MW);42;41;41
;Slovakia;Electricity capacity (MW);10;6;6
;Spain;Electricity capacity (MW);117;121;121
;Sweden;Electricity capacity (MW);564;567;566
;Switzerland;Electricity capacity (MW);212;212;212
;UK;Electricity capacity (MW);514;565;589
Other solid biofuels;Europe;Electricity capacity (MW);17408;18212;20326
;Austria;Electricity capacity (MW);917;838;824
;Belgium;Electricity capacity (MW);566;559;526
;Czechia;Electricity capacity (MW);376;402;385
;Denmark;Electricity capacity (MW);1032;1501;1494
;Finland;Electricity capacity (MW);1747;1966;1966
;France;Electricity capacity (MW);611;623;812
;Germany;Electricity capacity (MW);1597;1598;1605
;Hungary;Electricity capacity (MW);322;356;385
;Italy;Electricity capacity (MW);685;684.108;733.213
;Luxembourg;Electricity capacity (MW);4;15;15
;Netherlands;Electricity capacity (MW);223;226;222
;Norway;Electricity capacity (MW);27;27;27
;Poland;Electricity capacity (MW);727;709;735
;Portugal;Electricity capacity (MW);475;469;534
;Slovakia;Electricity capacity (MW);150;149;148
;Spain;Electricity capacity (MW);677;677;677
;Sweden;Electricity capacity (MW);3769;3706;3918
;Switzerland;Electricity capacity (MW);0;0;0
;UK;Electricity capacity (MW);2969;3118;4563
Liquid biofuels;Europe;Electricity capacity (MW);1792;1813;1791
;Austria;Electricity capacity (MW);3;1;1
;Belgium;Electricity capacity (MW);45;45;45
;Czechia;Electricity capacity (MW);;;
;Denmark;Electricity capacity (MW);0;1;0
;Finland;Electricity capacity (MW);0;0;0
;France;Electricity capacity (MW);4;0;0
;Germany;Electricity capacity (MW);231;230;230
;Hungary;Electricity capacity (MW);;;
;Italy;Electricity capacity (MW);993;986.727;970.712
;Luxembourg;Electricity capacity (MW);;;
;Netherlands;Electricity capacity (MW);0;0;0
;Norway;Electricity capacity (MW);0;0;0
;Poland;Electricity capacity (MW);0;0;0
;Portugal;Electricity capacity (MW);;;
;Slovakia;Electricity capacity (MW);;;
;Spain;Electricity capacity (MW);0;0;6
;Sweden;Electricity capacity (MW);515;547;535
;Switzerland;Electricity capacity (MW);;;
;UK;Electricity capacity (MW);;;
Biogas;Europe;Electricity capacity (MW);11717;12120;12831
;Austria;Electricity capacity (MW);202;180;175
;Belgium;Electricity capacity (MW);188;183;190
;Czechia;Electricity capacity (MW);369;372;369
;Denmark;Electricity capacity (MW);107;108;121
;Finland;Electricity capacity (MW);113;116;116
;France;Electricity capacity (MW);404;438;457
;Germany;Electricity capacity (MW);5850;6147;6754
;Hungary;Electricity capacity (MW);76;82;76
;Italy;Electricity capacity (MW);1352;1371.505;1375.35
;Luxembourg;Electricity capacity (MW);12;12;12
;Netherlands;Electricity capacity (MW);221;221;227
;Norway;Electricity capacity (MW);10;10;10
;Poland;Electricity capacity (MW);225;229;225
;Portugal;Electricity capacity (MW);68;70;71
;Slovakia;Electricity capacity (MW);93;91;89
;Spain;Electricity capacity (MW);224;225;234
;Sweden;Electricity capacity (MW);2;2;2
;Switzerland;Electricity capacity (MW);29;30;32
;UK;Electricity capacity (MW);1762;1793;1811
Geothermal;Europe;Electricity capacity (MW);1506;1558;1618
;Austria;Electricity capacity (MW);1;1;1
;Belgium;Electricity capacity (MW);;;
;Czechia;Electricity capacity (MW);;;
;Denmark;Electricity capacity (MW);;;
;Finland;Electricity capacity (MW);;;
;France;Electricity capacity (MW);16;16;16
;Germany;Electricity capacity (MW);33;32;36
;Hungary;Electricity capacity (MW);0;3;3
;Italy;Electricity capacity (MW);767;767.19;767.19
;Luxembourg;Electricity capacity (MW);;;
;Netherlands;Electricity capacity (MW);;;
;Norway;Electricity capacity (MW);;;
;Poland;Electricity capacity (MW);;;
;Portugal;Electricity capacity (MW);25;29;29
;Slovakia;Electricity capacity (MW);;;
;Spain;Electricity capacity (MW);;;
;Sweden;Electricity capacity (MW);;;
;Switzerland;Electricity capacity (MW);;;
;UK;Electricity capacity (MW);;;
