,,DE_BadenWue,DE_Bayern,DE_Berlin,DE_Brandenburg,DE_Bremen,DE_Hamburg,DE_Hessen,DE_MeckPom,DE_Niedersachsen,DE_NordRheinWest,DE_RheinlPfalz,DE_Saarland,DE_Sachsen,DE_SachsenAnhalt,DE_SchleswHolst,DE_Thueringen,Austria,Belgium,Czech_Republic,Denmark,France,Italy,Luxembourg,Netherlands,Norway,Poland,Sweden,Switzerland
BEV,t0062,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0063,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0064,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0065,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0066,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0067,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0068,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0069,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0070,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0071,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0072,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0073,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0074,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0075,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0076,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0077,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0078,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0079,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0080,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0081,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0082,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0083,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0084,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0085,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0086,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0087,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0088,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0089,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0090,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0091,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0092,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0093,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0094,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0095,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0096,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0097,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0098,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0099,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0100,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0101,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0102,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0103,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0104,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0105,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0106,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0107,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0108,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0109,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0110,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0111,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0112,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0113,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0114,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0115,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0116,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0117,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0118,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0119,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0,0,0,0,0,0,0,0,0,0,0,0
