Scenario,Region,Year,Parameter,Unit,Value,Source,Comment
ALL,ALL,ALL,EnergyConversion_LifeTime_H2_Electricity,a,15,DEA 2017,
ALL,ALL,ALL,EnergyConversion_LifeTime_Heat_CH4_Large,a,25,DEA 2016b,p.311
ALL,ALL,ALL,EnergyConversion_LifeTime_Heat_Electricity_Large,a,20,DEA 2016b,
ALL,ALL,ALL,EnergyConversion_LifeTime_Heat_ElectricityHeat_Large,a,30,DEA 2016b,p.265
ALL,ALL,ALL,EnergyConversion_LifeTime_Heat_ElectricityHeat_Small,a,20,DEA 2016a,p.90
ALL,ALL,ALL,EnergyConversion_MaxPowerChange_Electricity_CH4_GT,percent Cap./5min,100,Own assumption,
ALL,ALL,ALL,EnergyConversion_MaxPowerChange_ElectricityHeat_CH4_ExCCGT,percent Cap./5min,100,Own assumption,
ALL,ALL,ALL,EnergyConversion_MinDownTime_Electricity_CH4_GT,h,1,ECF 2010,App. A p.6
ALL,ALL,ALL,EnergyConversion_MinGen_Electricity_CH4_GT,percent of Cap.,30,DEA 2016b,p.66
ALL,ALL,ALL,EnergyConversion_MinGen_ElectricityHeat_CH4_ExCCGT,percent of Cap.,50,DEA 2016b,p.71
ALL,ALL,ALL,EnergyConversion_MinUpTime_Electricity_CH4_GT,h,1,ECF 2010,App. A p.6
ALL,ALL,ALL,EnergyConversion_Power2HeatRatio_ElectricityHeat_CH4_ExCCGT,-,1.25,Gils 2015,
ALL,ALL,ALL,EnergyConversion_PowerLossIndex_ElectricityHeat_CH4_ExCCGT,-,0.15,Gils 2015,
ALL,ALL,ALL,EnergyConversion_StartTime_Electricity_CH4_GT,h,0,Own assumption,
ALL,ALL,ALL,EnergyConversion_StartTime_ElectricityHeat_CH4_ExCCGT,h,0,Own assumption,
ALL,ALL,ALL,EnergyConversion_VarOM_Electricity_CH4_GT,Eur/GWh (el),1100,Garcia 2015,
ALL,ALL,ALL,EnergyConversion_VarOM_Electricity_Hydro_Reservoir,Eur/GWh (el),0.0001,Own assumption ,
ALL,ALL,ALL,EnergyConversion_VarOM_Electricity_Solar_PV,Eur/GWh (el),0,Own assumption ,
ALL,ALL,ALL,EnergyConversion_VarOM_Electricity_Wind_Offshore,Eur/GWh (el),0,Own assumption ,
ALL,ALL,ALL,EnergyConversion_VarOM_Electricity_Wind_Onshore,Eur/GWh (el),0,Own assumption ,
ALL,ALL,ALL,EnergyConversion_VarOM_ElectricityHeat_CH4_ExCCGT,Eur/GWh (el),517,Gils 2015,Consideration of inflation rate Euro 2012 to 2016 (1.034)
ALL,ALL,ALL,EnergyConversion_VarOM_H2_Electricity,Eur/GWh,1000,Own assumption,
ALL,ALL,ALL,EnergyConversion_VarOM_Heat_CH4_Large,Eur/GWh (th),2200,DEA 2016b,p. 311
ALL,ALL,ALL,EnergyConversion_VarOM_Heat_CH4_Small,Eur/GWh (th),5000,Gils 2015,Consideration of inflation rate Euro 2012 to 2016  (1.034)
ALL,ALL,ALL,EnergyConversion_VarOM_Heat_Electricity_Large,Eur/GWh (th),1000,DEA 2016b,p. 275
ALL,ALL,ALL,EnergyConversion_VarOM_Heat_ElectricityHeat_Large,Eur/GWh (th),6700,DEA 2016b,p. 265
ALL,ALL,ALL,EnergyConversion_VarOM_Heat_ElectricityHeat_Small,Eur/GWh (th),0,DEA 2016a,p. 90
ALL,ALL,ALL,EnergyConversion_WaTCost_Electricity_CH4_GT,Eur/MW (el),0.69894,Kumar 2012,Consideration of inflation rate Euro 2011 to Euro 2016 (1.054)
ALL,ALL,ALL,EnergyConversion_WaTCost_ElectricityHeat_CH4_ExCCGT,Eur/MW (el),0.5,Own assumption,
ALL,ALL,ALL,EnergyConversion_WaTCost_H2_Electricity,Eur/MW (el),1,Own assumption,
ALL,ALL,ALL,Storage_Amortisation_Electricity_LiIonBatteryCharge,a,25,Cebulla 2017,
ALL,ALL,ALL,Storage_Amortisation_Electricity_LiIonBatteryDischarge,a,25,Cebulla 2017,
