commissioned;ST_uranium;ST_lignite;ST_hardcoal;CC_natgas;M_natgas;ST_natgas;GT_natgas;M_oil;ST_oil;GT_oil;CC_oil;ST_biomass;GT_biomass;water;ST_mixedfuels;ST_otherfossil;GT_otherfossil;ST_waste
1979;0,33;0,3496;0,3725;0,45;0,4126;0,3619;0,3254;0,4126;0,3619;0,3254;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1980;0,33;0,352;0,375;0,45;0,414;0,363;0,328;0,414;0,363;0,328;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1981;0,33;0,3544;0,3775;0,4545;0,4154;0,3641;0,3306;0,4154;0,3641;0,3306;0,4545;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1982;0,33;0,3568;0,38;0,459;0,4168;0,3652;0,3332;0,4168;0,3652;0,3332;0,459;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1983;0,33;0,3592;0,3825;0,4635;0,4182;0,3663;0,3358;0,4182;0,3663;0,3358;0,4635;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1984;0,33;0,3616;0,385;0,468;0,4196;0,3674;0,3384;0,4196;0,3674;0,3384;0,468;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1985;0,33;0,364;0,3875;0,4725;0,421;0,3685;0,341;0,421;0,3685;0,341;0,4725;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1986;0,33;0,3664;0,39;0,477;0,4224;0,3696;0,3436;0,4224;0,3696;0,3436;0,477;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1987;0,33;0,3688;0,3925;0,4815;0,4238;0,3707;0,3462;0,4238;0,3707;0,3462;0,4815;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1988;0,33;0,3712;0,395;0,486;0,4252;0,3718;0,3488;0,4252;0,3718;0,3488;0,486;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1989;0,33;0,3736;0,3975;0,4905;0,4266;0,3729;0,3514;0,4266;0,3729;0,3514;0,4905;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1990;0,33;0,376;0,4;0,495;0,428;0,374;0,354;0,428;0,374;0,354;0,495;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1991;0,33;0,3784;0,4025;0,4995;0,4294;0,3751;0,3566;0,4294;0,3751;0,3566;0,4995;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1992;0,33;0,3808;0,405;0,504;0,4308;0,3762;0,3592;0,4308;0,3762;0,3592;0,504;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1993;0,33;0,3832;0,4075;0,5085;0,4322;0,3773;0,3618;0,4322;0,3773;0,3618;0,5085;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1994;0,33;0,3856;0,41;0,513;0,4336;0,3784;0,3644;0,4336;0,3784;0,3644;0,513;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1995;0,33;0,388;0,4125;0,5175;0,435;0,3795;0,367;0,435;0,3795;0,367;0,5175;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1996;0,33;0,3904;0,415;0,522;0,4364;0,3806;0,3696;0,4364;0,3806;0,3696;0,522;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1997;0,33;0,3928;0,4175;0,5265;0,4378;0,3817;0,3722;0,4378;0,3817;0,3722;0,5265;0,38;0,38;0,9;0,4;0,4;0,4;0,4
