Kraftwerksnummer BNetzA;Kraftwerksbetreiber;Kraftwerksblock;Netto-Nennleistung in MW laut KW-Liste;Stilllegungsanzeigentyp;Systemrelevanz von zur Stilllegung angezeigten KW-Blöcken gemäß ÜNB
BNA0526;Gemeinschaftskraftwerk Kiel GmbH;Gemeinschaftskraftwerk Kiel;323;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0020;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Altbach/Deizisau ALT HKW 1;433;Geplant endgültig;x
BNA0252;VSE Aktiengesellschaft;Ensdorf Block 3;283;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0253;VSE Aktiengesellschaft;Ensdorf Block 1;106;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0178;eins energie in sachsen GmbH & Co. KG;HKW Chemnitz Nord II Block A;57,2;Geplant vorläufig;
BNA1200;Energie- und Medienversorgung Sandhofer Straße GmbH & Co. KG;GuD-Kraftwerk;17,2;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;x
BNA0083;Vattenfall Europe Wärme AG;HKW Wilmersdorf GT 1;92;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0969b;SWM Services GmbH;Nord 2, Unterföhring;332,7;Geplant endgültig;x
BNA0110;RWE Generation SE;Kraftwerk Bochum;20,7;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0934;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Stuttgart-Gaisburg DT 14 und DT112;31,6;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;x
BNA0343;Energieversorgung Gera GmbH;Heizkraftwerk Gera-Nord;74;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0619;Steag GmbH;Kraftwerk Lünen, Block 7;324;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0618;Steag GmbH;Kraftwerk Lünen, Block 6;149;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0082;Vattenfall Wärme Berlin AG;Reuter C;124;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0085b;Vattenfall Wärme Berlin AG;Moabit Gasturbine 7;17;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA1046a;RWE Generation SE;Gersteinwerk, Block K2;614;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0544;RheinEnergie AG;HKW Südstadt;35;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0083;Vattenfall Europe Wärme AG;HKW Wilmersdorf GT3;92;Geplant endgültig;
BNA0221c;Stadtwerke Düsseldorf AG;Gasblock E;293;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA1041;RWE Generation SE;Gersteinwerk H1;55;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0199;RWE Generation SE;Dormagen (Teilstilllegung);24;Geplant endgültig;
BNA1938;Papierfabrik Palm GmbH & Co. KG;KWK-Anlage Aalen;15;Geplant endgültig;
BNA0753;Energieversorgung Oberhausen AG;HKW 2;24,5;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0261b;Erlanger Stadtwerke AG;HKW Erlangen;17,4;Geplant endgültig;
BNA0083;Vattenfall Europe Wärme AG;HKW Wilmersdorf GT2;92;Geplant endgültig;
BNA0183;Stadtwerke Cottbus GmbH;Heizkraftwerk Cottbus (Teilstilllegung);32,8;Geplant endgültig;
BNA0721;Vattenfall Wasserkraft GmbH;PSW Niederwartha PSS C und D;39,8;Geplant vorläufig;
"BNA0744
BNA0745";Uniper Kraftwerke GmbH ;"Franken 1 Block 1 und 2
(59 MW in Block 2 bleiben in Betrieb)";765;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;
BNA0493;RWE Generation SE;Ibbenbüren B;794;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;
BNA0067;STEAG GmbH;Bergkamen A;717;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;
BNA0998;STEAG GmbH;Modellkraftwerk Völklingen;179;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;
BNA0861b;Energie SaarLorLux AG;Kohleanlage des HKW Römerbrücke;50;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;
BNA0645;Grosskraftwerk Mannheim AG;GKM Block 7;425;Geplante vorläufige Stilllegung in Form der saisonalen Stilllegung;
