bnaID;ERid;opsd;Peschel;Hahn;ITE;ERman;tecFin;Comment
BNA0005;ER0000267;T;NA;T;T;NA;T;NA
BNA0006;ER0000268;T;NA;T;T;NA;T;NA
BNA0007;ER0000269;T;NA;T;T;NA;T;NA
BNA0008;ER0000270;T;NA;T;T;NA;T;NA
BNA0010a;ER0000760;ROR;NA;NA;NA;NA;ROR;NA
BNA0010b;ER0000771;ROR;NA;NA;NA;NA;ROR;NA
BNA0011;ER0000250;SPP;NA;NA;NA;NA;SPP;NA
BNA0012a;ER0000010;SPP;NA;NA;NA;NA;SPP;NA
BNA0012b;ER0000271;SPP;CC;NA;T;T;T;NA
BNA0012c;ER0000761;ROR;NA;NA;NA;NA;ROR;NA
BNA0012d;ER0000630;SPP;NA;NA;NA;NA;SPP;NA
BNA0015;ER0000272;T;T;T;T;NA;T;NA
BNA0016;ER0000273;T;NA;T;T;NA;T;NA
BNA0017;ER0000274;T;NA;T;T;NA;T;NA
BNA0018;ER0000275;T;NA;T;T;NA;T;NA
BNA0019;ER0000149;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0020;ER0000150;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0021;ER0000011;SPP;NA;NA;NA;NA;SPP;NA
BNA0024;ER0000762;ROR;NA;NA;NA;NA;ROR;NA
BNA0025;ER0000276;SPP;T;NA;T;NA;T;NA
BNA0027;ER0000881;SPP;NA;NA;NA;NA;SPP;NA
BNA0027;ER0000882;SPP;NA;NA;NA;NA;SPP;NA
BNA0033;ER0000280;T;T;NA;T;NA;T;NA
BNA0042;ER0000763;ROR;NA;NA;NA;NA;ROR;NA
BNA0045;ER0000764;ROR;NA;NA;NA;NA;ROR;NA
BNA0046;ER0000685;PHS;NA;NA;NA;NA;PHS;NA
BNA0051;ER0000284;SPP;M;NA;T;M;M;NA
BNA0055;ER0000014;SPP;NA;NA;NA;NA;SPP;NA
BNA0059a;ER0000537;SPP;NA;NA;T;SPP;SPP;NA
BNA0059b;ER0000285;CC;CC;CC;CC;NA;CC;NA
BNA0062;ER0000015;SPP;NA;NA;NA;NA;SPP;NA
BNA0065;ER0000765;ROR;NA;NA;NA;NA;ROR;NA
BNA0066;ER0000016;SPP;NA;NA;NA;NA;SPP;NA
BNA0067;ER0000151;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0068;ER0000017;SPP;NA;NA;NA;NA;SPP;NA
BNA0073;ER0000287;CC;CC;CC;CC;NA;CC;NA
BNA0074;ER0000288;T;T;T;T;NA;T;NA
BNA0075;ER0000289;SPP;NA;T;T;NA;T;NA
BNA0076;ER0000290;SPP;NA;T;T;NA;T;NA
BNA0080;ER0000291;SPP;CC;T;T;NA;T;NA
BNA0081;ER0000082;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0082;ER0000152;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0083;ER0000633;SPP;NA;NA;NA;NA;SPP;NA
BNA0084;ER0000549;SPP;NA;NA;NA;NA;SPP;NA
BNA0085a;ER0000153;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0085b;ER0000634;T;NA;NA;NA;NA;T;NA
BNA0086;ER0000154;SPP;NA;SPP;NA;NA;SPP;NA
BNA0087;ER0000155;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0088a;ER0000550;CC;NA;NA;NA;NA;CC;NA
BNA0088b;ER0000292;CC;CC;CC;CC;NA;CC;NA
BNA0090;ER0000018;SPP;NA;NA;NA;NA;SPP;NA
BNA0093;ER0000156;SPP;NA;SPP;NA;NA;SPP;NA
BNA0097;ER0000551;SPP;NA;NA;NA;NA;SPP;NA
BNA0098;ER0000293;SPP;NA;NA;CC;CC;CC;NA
BNA0099;ER0000543;T;NA;T;T;NA;T;NA
BNA0100;ER0000294;CC;CC;CC;CC;NA;CC;NA
BNA0101;ER0000295;SPP;CC;SPP;CC;CC;CC;NA
BNA0103;ER0000019;SPP;NA;NA;NA;NA;SPP;NA
BNA0105;ER0000296;CC;CC;CC;CC;NA;CC;NA
BNA0106;ER0000020;SPP;NA;NA;NA;NA;SPP;NA
BNA0110;ER0000297;SPP;CC;NA;T;T;T;NA
BNA0111;ER0000298;SPP;CC;SPP;T;NA;SPP;NA
BNA0115;ER0000083;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0116;ER0000084;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0117a;ER0000554;SPP;NA;NA;CC;CC;CC;NA
BNA0117b;ER0000300;SPP;CC;NA;NA;CC;CC;NA
BNA0118;ER0000534;SPP;NA;NA;CC;SPP;SPP;NA
BNA0121;ER0000021;SPP;NA;NA;NA;NA;SPP;NA
BNA0122;ER0000085;SPP;NA;SPP;NA;NA;SPP;NA
BNA0123;ER0000086;SPP;NA;SPP;NA;NA;SPP;NA
BNA0124;ER0000087;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0129;ER0000301;SPP;CC;SPP;T;NA;SPP;NA
BNA0130;ER0000302;CC;NA;CC;CC;NA;CC;NA
BNA0135;ER0000303;CC;CC;NA;T;NA;CC;NA
BNA0136;ER0000304;CC;CC;CC;CC;NA;CC;NA
BNA0137;ER0000305;T;T;NA;T;NA;T;NA
BNA0138;ER0000157;CC;SPP;CC;NA;NA;CC;NA
BNA0139;ER0000555;SPP;NA;NA;NA;NA;SPP;NA
BNA0140;ER0000306;SPP;NA;CC;SPP;NA;SPP;NA
BNA0141;ER0000635;T;NA;NA;NA;NA;T;NA
BNA0142;ER0000848;SPP;NA;NA;NA;NA;SPP;NA
BNA0143;ER0000879;SPP;NA;NA;NA;NA;SPP;NA
BNA0144;ER0000158;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0145;ER0000159;SPP;NA;SPP;NA;NA;SPP;NA
BNA0146;ER0000160;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0147;ER0000161;SPP;NA;SPP;NA;NA;SPP;NA
BNA0156a;ER0000022;SPP;NA;NA;NA;NA;SPP;NA
BNA0156b;ER0000309;T;T;NA;T;NA;T;NA
BNA0157;ER0000001;SPP;NA;SPP;NA;NA;SPP;NA
BNA0161;ER0000636;T;NA;NA;NA;NA;T;NA
BNA0162;ER0000637;T;NA;NA;NA;NA;T;NA
BNA0163;ER0000638;T;NA;NA;NA;NA;T;NA
BNA0164;ER0000639;T;NA;NA;NA;NA;T;NA
BNA0169;ER0000023;SPP;NA;NA;NA;NA;SPP;NA
BNA0172a;ER0000310;CC;NA;NA;NA;NA;CC;NA
BNA0172b;ER0000311;SPP;NA;NA;NA;NA;SPP;NA
BNA0173;ER0000768;ROR;NA;NA;NA;NA;ROR;NA
BNA0174;ER0000312;SPP;CC;T;T;NA;T;NA
BNA0176;ER0000024;SPP;NA;NA;NA;NA;SPP;NA
BNA0177;ER0000089;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0178;ER0000315;SPP;CC;SPP;SPP;NA;SPP;NA
BNA0179;ER0000090;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0183;ER0000091;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0187;ER0000254;SPP;NA;SPP;NA;NA;SPP;NA
BNA0188;ER0000255;SPP;NA;SPP;NA;NA;SPP;NA
BNA0189;ER0000253;SPP;NA;SPP;NA;NA;SPP;NA
BNA0191;ER0000025;SPP;NA;NA;NA;NA;SPP;NA
BNA0192;ER0000026;SPP;NA;NA;NA;NA;SPP;NA
BNA0194;ER0000092;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0196;ER0000128;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0199;ER0000320;CC;CC;CC;CC;NA;CC;NA
BNA0202;ER0000321;SPP;T;NA;T;NA;T;NA
BNA0203;ER0000257;SPP;NA;SPP;NA;NA;SPP;NA
BNA0207;ER0000322;CC;CC;CC;CC;NA;CC;NA
BNA0211;ER0000162;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0212;ER0000248;SPP;NA;NA;NA;NA;SPP;NA
BNA0213;ER0000323;SPP;CC;CC;CC;NA;CC;NA
BNA0214;ER0000324;CC;CC;CC;CC;NA;CC;NA
BNA0215;ER0000262;SPP;NA;NA;NA;NA;SPP;NA
BNA0216a;ER0000163;SPP;SPP;NA;NA;NA;SPP;NA
BNA0216b;ER0000164;SPP;NA;NA;NA;NA;SPP;NA
BNA0217;ER0000851;SPP;NA;NA;NA;NA;SPP;NA
BNA0218;ER0000852;SPP;NA;NA;NA;NA;SPP;NA
BNA0219;ER0000853;SPP;NA;NA;NA;NA;SPP;NA
BNA0220;ER0000327;CC;CC;CC;CC;NA;CC;NA
BNA0221a;ER0000328;T;NA;T;T;NA;T;NA
BNA0221b;ER0000329;T;NA;T;T;NA;T;NA
BNA0221c;ER0000330;SPP;CC;SPP;T;NA;SPP;NA
BNA0222;ER0000640;T;NA;NA;NA;NA;T;NA
BNA0223a;ER0000558;SPP;NA;NA;NA;NA;SPP;NA
BNA0223b;ER0000559;SPP;NA;NA;NA;NA;SPP;NA
BNA0224;ER0000027;SPP;NA;NA;NA;NA;SPP;NA
BNA0228;ER0000686;PHS;NA;NA;NA;NA;PHS;NA
BNA0229;ER0000687;PHS;NA;NA;NA;NA;PHS;NA
BNA0230;ER0000751;ROR;NA;NA;NA;NA;ROR;NA
BNA0232a;ER0000028;SPP;NA;NA;NA;NA;SPP;NA
BNA0232b;ER0000029;SPP;NA;NA;NA;NA;SPP;NA
BNA0232c;ER0000333;SPP;M;NA;CC;M;M;NA
BNA0233;ER0000334;SPP;CC;CC;CC;NA;CC;NA
BNA0237;ER0000856;SPP;NA;NA;NA;NA;SPP;NA
BNA0238a;ER0000857;SPP;NA;NA;NA;NA;SPP;NA
BNA0238b;ER0000858;SPP;NA;NA;NA;NA;SPP;NA
BNA0239;ER0000336;T;NA;T;T;NA;T;NA
BNA0242;ER0000030;SPP;NA;NA;NA;NA;SPP;NA
BNA0243;ER0000337;SPP;CC;T;CC;NA;CC;NA
BNA0244;ER0000031;SPP;NA;NA;NA;NA;SPP;NA
BNA0245a;ER0000338;SPP;NA;T;T;NA;T;NA
BNA0245b;ER0000339;SPP;NA;NA;T;SPP;SPP;NA
BNA0250a;ER0000032;SPP;NA;NA;NA;NA;SPP;NA
BNA0250b;ER0000033;SPP;NA;NA;NA;NA;SPP;NA
BNA0251;ER0000002;SPP;NA;SPP;NA;NA;SPP;NA
BNA0252;ER0000165;SPP;NA;SPP;NA;NA;SPP;NA
BNA0253;ER0000166;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0255;ER0000340;SPP;NA;NA;T;T;T;NA
BNA0256a;ER0000341;CC;CC;NA;CC;NA;CC;NA
BNA0256b;ER0000342;CC;CC;NA;NA;NA;CC;NA
BNA0259;ER0000776;ROR;NA;NA;NA;NA;ROR;NA
BNA0261a;ER0000344;CC;CC;NA;CC;NA;CC;NA
BNA0261b;ER0000167;SPP;SPP;NA;NA;NA;SPP;NA
BNA0261c;ER0000345;CC;CC;NA;NA;NA;CC;NA
BNA0263;ER0000003;SPP;NA;SPP;NA;NA;SPP;NA
BNA0268;ER0000688;PHS;NA;NA;NA;NA;PHS;NA
BNA0269;ER0000682;SPP;NA;NA;NA;NA;SPP;NA
BNA0270;ER0000168;SPP;SPP;NA;NA;NA;SPP;NA
BNA0271;ER0000169;SPP;SPP;NA;NA;NA;SPP;NA
BNA0272;ER0000170;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0273;ER0000171;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0274;ER0000172;SPP;SPP;NA;NA;NA;SPP;NA
BNA0277;ER0000034;SPP;NA;NA;NA;NA;SPP;NA
BNA0278;ER0000778;ROR;NA;NA;NA;NA;ROR;NA
BNA0279;ER0000689;ROR;NA;NA;NA;NA;ROR;NA
BNA0283;ER0000035;SPP;NA;NA;NA;NA;SPP;NA
BNA0284;ER0000099;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0285;ER0000348;CC;CC;CC;CC;NA;CC;NA
BNA0286;ER0000349;T;T;T;T;NA;T;NA
BNA0287a;ER0000562;SPP;NA;NA;NA;NA;SPP;NA
BNA0287b;ER0000563;SPP;NA;NA;NA;NA;SPP;NA
BNA0288;ER0000350;CC;CC;T;SPP;NA;CC;NA
BNA0289a;ER0000880;SPP;NA;NA;NA;NA;SPP;NA
BNA0289b;ER0000173;SPP;NA;SPP;NA;NA;SPP;NA
BNA0290;ER0000174;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0292;ER0000100;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0293;ER0000352;CC;CC;T;CC;NA;CC;NA
BNA0302;ER0000133;SPP;NA;NA;NA;NA;SPP;NA
BNA0303;ER0000134;SPP;NA;NA;NA;NA;SPP;NA
BNA0304;ER0000135;SPP;NA;NA;NA;NA;SPP;NA
BNA0305;ER0000136;SPP;NA;NA;NA;NA;SPP;NA
BNA0306;ER0000137;SPP;NA;NA;NA;NA;SPP;NA
BNA0307;ER0000138;SPP;NA;NA;NA;NA;SPP;NA
BNA0308;ER0000139;SPP;NA;NA;NA;NA;SPP;NA
BNA0309;ER0000140;SPP;NA;NA;NA;NA;SPP;NA
BNA0310;ER0000141;SPP;NA;NA;NA;NA;SPP;NA
BNA0311;ER0000142;SPP;NA;NA;NA;NA;SPP;NA
BNA0312;ER0000143;SPP;NA;NA;NA;NA;SPP;NA
BNA0313;ER0000103;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0314;ER0000104;SPP;NA;SPP;NA;NA;SPP;NA
BNA0318;ER0000641;SPP;NA;NA;NA;NA;SPP;NA
BNA0324;ER0000780;ROR;NA;NA;NA;NA;ROR;NA
BNA0327;ER0000690;PHS;NA;NA;NA;NA;PHS;NA
BNA0328;ER0000691;PHS;NA;NA;NA;NA;PHS;NA
BNA0329;ER0000692;PHS;NA;NA;NA;NA;PHS;NA
BNA0331;ER0000175;SPP;NA;SPP;NA;NA;SPP;NA
BNA0332;ER0000176;SPP;NA;SPP;NA;NA;SPP;NA
BNA0333;ER0000258;SPP;NA;SPP;NA;NA;SPP;NA
BNA0334;ER0000259;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0335;ER0000256;SPP;NA;SPP;NA;NA;SPP;NA
BNA0336;ER0000177;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0337;ER0000693;PHS;NA;NA;NA;NA;PHS;NA
BNA0343;ER0000356;SPP;CC;CC;CC;NA;CC;NA
BNA0347;ER0000036;SPP;NA;NA;NA;NA;SPP;NA
BNA0350;ER0000694;PHS;NA;NA;NA;NA;PHS;NA
BNA0351;ER0000695;PHS;NA;NA;NA;NA;PHS;NA
BNA0352;ER0000696;PHS;NA;NA;NA;NA;PHS;NA
BNA0353;ER0000697;PHS;NA;NA;NA;NA;PHS;NA
BNA0354;ER0000357;SPP;CC;NA;T;CC;CC;NA
BNA0355;ER0000009;SPP;NA;SPP;NA;NA;SPP;NA
BNA0360;ER0000358;T;T;NA;T;NA;T;NA
BNA0361;ER0000359;SPP;CC;CC;CC;NA;CC;NA
BNA0362;ER0000781;ROR;NA;NA;NA;NA;ROR;NA
BNA0364;ER0000782;ROR;NA;NA;NA;NA;ROR;NA
BNA0369;ER0000642;SPP;NA;NA;NA;NA;SPP;NA
BNA0373;ER0000643;T;NA;NA;NA;NA;T;NA
BNA0374;ER0000360;SPP;NA;SPP;SPP;NA;SPP;NA
BNA0375;ER0000251;SPP;NA;SPP;NA;NA;SPP;NA
BNA0376;ER0000247;SPP;NA;NA;NA;NA;SPP;NA
BNA0377;ER0000178;SPP;SPP;SPP;NA;NA;SPP;NA
BNA0378;ER0000644;SPP;NA;NA;NA;NA;SPP;NA
BNA0379;ER0000645;SPP;NA;NA;NA;NA;SPP;NA
BNA0380;ER0000566;SPP;NA;NA;NA;NA;SPP;NA
BNA0381;ER0000004;SPP;NA;SPP;NA;NA;SPP;NA
BNA0382;ER0000005;SPP;NA;SPP;NA;NA;SPP;NA
BNA0385;ER0000037;SPP;NA;NA;NA;NA;SPP;NA
BNA0386;ER0000361;SPP;T;NA;CC;CC;CC;NA
BNA0388;ER0000038;SPP;NA;NA;NA;NA;SPP;NA
BNA0389;ER0000362;CC;CC;CC;CC;NA;CC;NA
BNA0392a;ER0000363;SPP;CC;CC;CC;NA;CC;NA
BNA0392b;ER0000364;CC;CC;CC;CC;NA;CC;NA
BNA0395;ER0000859;SPP;NA;NA;NA;NA;SPP;NA
BNA0396;ER0000860;SPP;NA;NA;NA;NA;SPP;NA
BNA0397;ER0000861;CC;NA;NA;NA;NA;CC;NA
BNA0398;ER0000567;SPP;NA;NA;NA;NA;SPP;NA
BNA0399;ER0000039;SPP;NA;NA;NA;NA;SPP;NA
BNA0400;ER0000365;CC;CC;CC;CC;NA;CC;NA
BNA0401;ER0000366;SPP;CC;NA;T;CC;CC;NA
