label,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CZ_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
DK2_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
DK1_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
FR_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
NL_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
NO4_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
PL_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
SE1_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
SE2_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
SE3_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
SE4_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
NO2_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
NO5_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
FR_bus_solarthermal,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
