,biomass,hardcoal,lignite,natgas,uranium,oil,otherfossil,waste,mixedfuels
2017-04-22 00:00:00,0.0,10.517965078866773,3.9715829707155934,10.475290633201462,9.646689243279244,8.059950112716203,0.0,0.0,0.0
2017-04-22 01:00:00,0.0,10.578199286001649,3.9943274036470258,10.535280452626331,9.70193383419474,8.10610777733534,0.0,0.0,0.0
2017-04-22 02:00:00,0.0,10.854179179924547,4.098537394719003,10.810140615793362,9.95505240362378,8.31759204833759,0.0,0.0,0.0
2017-04-22 03:00:00,0.0,11.19096405348779,4.22570734238558,11.145559055100549,10.263939055437207,8.575671368746365,0.0,0.0,0.0
2017-04-22 04:00:00,0.0,11.51794669398119,4.349175967444291,11.471215031850475,10.563835460980947,8.826239206758713,0.0,0.0,0.0
2017-04-22 05:00:00,0.0,12.072224332883374,4.558471170005427,12.023243805044565,11.072198447252054,9.250983925404146,0.0,0.0,0.0
2017-04-22 06:00:00,0.0,12.81110337606998,4.837471851537896,12.759125000896132,11.749871025982525,9.817189287635406,0.0,0.0,0.0
2017-04-22 07:00:00,0.0,12.673246906140195,4.785417256920903,12.621827854789114,11.623434161473426,9.711549436008427,0.0,0.0,0.0
2017-04-22 08:00:00,0.0,12.057143681096072,4.552776716812566,12.008224339850912,11.058367030215834,9.239427573946283,0.0,0.0,0.0
2017-04-22 09:00:00,0.0,11.493114084904514,4.339799175775195,11.44648317589656,10.541059908764687,8.807209899394996,0.0,0.0,0.0
2017-04-22 10:00:00,0.0,10.942529949709732,4.131898639988155,10.89813292079031,10.036084467728525,8.385295524394898,0.0,0.0,0.0
2017-04-22 11:00:00,0.0,10.325145775435002,3.898774413528658,10.28325365380536,9.469842497129726,7.912192066860797,0.0,0.0,0.0
2017-04-22 12:00:00,0.0,9.70822553608318,3.665825368867686,9.668836439424306,8.904026030513574,7.439444124134565,0.0,0.0,0.0
2017-04-22 13:00:00,0.0,9.741299941792263,3.678314262441279,9.701776652642849,8.934360654310979,7.464789146486709,0.0,0.0,0.0
2017-04-22 14:00:00,0.0,9.911975913103658,3.7427614987733953,9.871760141861985,9.090898353779483,7.59557868646847,0.0,0.0,0.0
2017-04-22 15:00:00,0.0,10.38257119830786,3.9204582496944798,10.34044608502348,9.522510974821424,7.956197351161164,0.0,0.0,0.0
