label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
DE_transformer_hardcoal_BNA0646a,BNA0646a,363.906,hardcoal,DE,0.41,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0646b,BNA0646b,705.2247,hardcoal,DE,0.464,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0660,BNA0660,46.4796,hardcoal,DE,0.3525,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0662a,BNA0662a,57.2211,hardcoal,DE,0.3825,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0662b,BNA0662b,141.6473,hardcoal,DE,0.4,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0758,BNA0758,45.1745,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0793,BNA0793,731.9948,hardcoal,DE,0.42,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0801,BNA0801,22.5036,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0820,BNA0820,548.4523,hardcoal,DE,0.331,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0849,BNA0849,429.9947,hardcoal,DE,0.432,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0926b,BNA0926b,20.7385,hardcoal,DE,0.35,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0935,BNA0935,37.6454,hardcoal,DE,0.38,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
