label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
transformer_otherfossil_ipp_cluster_4,,2065.0,otherfossil,DE,0.4,ipp,1,0.0555,3.8631,1.9088,1.927,0.9635,0.1,83.9307,33.8842,19.3631,460,0.5,43.0,0.0,1.0,1.0,DE_bus_otherfossil,DE_bus_el
transformer_oil_ipp_cluster_5,,410.9,oil,DE,0.4704,ipp,1,0.0638,4.0,2.0,16.7656,1.9229,0.5153,81.8166,33.8079,21.115,180,0.5,41.0,0.0,1.0,1.0,DE_bus_oil,DE_bus_el
transformer_natgas_ipp_cluster_16,,201.5624,natgas,DE,0.3867,ipp,1,0.0724,3.4402,1.6268,1.7014,0.8507,0.1,75.0628,31.9809,18.9402,380,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_lignite_ipp_cluster_17,,523.2615,lignite,DE,0.5115,ipp,1,0.0744,4.1835,2.9173,27.3907,3.2405,1.4935,70.9218,34.746,23.7878,280,0.5,45.0,0.0,0.8632,0.8632,DE_bus_lignite,DE_bus_el
transformer_natgas_ipp_cluster_18,,176.5246,natgas,DE,0.4585,ipp,1,0.0836,3.7282,1.8188,30.9654,2.7554,0.9185,69.1154,30.0107,20.9165,140,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_hardcoal_ipp_cluster_19,,1287.2788,hardcoal,DE,0.4409,ipp,1,0.0521,4.0,5.4889,16.5555,4.3956,3.0933,54.0897,39.28,26.8378,440,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_hardcoal_ipp_cluster_20,,660.5661,hardcoal,DE,0.4295,ipp,1,0.0534,4.324,5.642,12.8029,3.116,1.9015,38.9221,25.9828,17.6945,440,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_natgas_ipp_cluster_21,,304.2064,natgas,DE,0.3862,ipp,1,0.0653,3.6166,1.7444,1.7955,0.8978,0.1,78.7624,32.7749,19.1166,280,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_ipp_cluster_22,,65.8395,natgas,DE,0.4312,ipp,1,0.0959,3.0327,1.3551,23.1926,2.1235,0.7098,52.9193,23.611,16.5672,100,0.5,30.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_ipp_cluster_23,,149.0312,natgas,DE,0.402,ipp,1,0.0602,3.7312,1.8208,1.8577,0.9294,0.1,80.9178,33.0737,19.0609,300,0.5,30.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_ipp_cluster_24,,137.2631,natgas,DE,0.3695,ipp,1,0.0868,3.1114,1.4076,2.8799,0.8477,0.1381,67.7121,30.4378,18.7595,300,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
